Orch,Comp,Weight,Comp.Gen
Boston Symphony Orchestra,"Chin, Unsuk",1,4
Boston Symphony Orchestra,"Coleridge-Taylor, Samuel",1,3
Boston Symphony Orchestra,"Debussy, Claude",1,1
Boston Symphony Orchestra,"Dvořák, Antonín",2,1
Boston Symphony Orchestra,"Ellington, Duke",1,3
Boston Symphony Orchestra,"Gruber, HK",1,1
Boston Symphony Orchestra,"Gubaidulina, Sofia",1,2
Boston Symphony Orchestra,"Ives, Charles",1,1
Boston Symphony Orchestra,"Janáček, Leoš",1,1
Boston Symphony Orchestra,"Mahler, Gustav",1,1
Boston Symphony Orchestra,"Mozart, Wolfgang Amadeus",4,1
Boston Symphony Orchestra,"Nabors, Brian Raphael",1,3
Boston Symphony Orchestra,"Pärt, Arvo",1,1
Boston Symphony Orchestra,"Prokofiev, Sergey",2,1
Boston Symphony Orchestra,"Rachmaninoff, Sergei",2,1
Boston Symphony Orchestra,"Rands, Bernard",1,1
Boston Symphony Orchestra,"Ravel, Maurice",2,1
Boston Symphony Orchestra,"Reid, Ellen",1,2
Boston Symphony Orchestra,"Saariaho, Kaija",1,2
Boston Symphony Orchestra,"Shostakovich, Dmitri",1,1
Boston Symphony Orchestra,"Sibelius, Jean",2,1
Boston Symphony Orchestra,"Still, William Grant",1,3
Boston Symphony Orchestra,"Strauss, Richard",8,1
Boston Symphony Orchestra,"Stravinsky, Igor",1,1
Boston Symphony Orchestra,"Tchaikovsky, Peter Ilich",3,1
Boston Symphony Orchestra,"Widmann, Jörg",1,1
Boston Symphony Orchestra,"Williams, John",1,1
Boston Symphony Orchestra,"Wooten, Victor",1,3
Bozeman,"Barber, Samuel",1,1
Bozeman,"Barfield, Anthony",1,3
Bozeman,"Beethoven, Ludwig van",1,1
Bozeman,"Berlioz, Hector",1,1
Bozeman,"Brahms, Johannes",1,1
Bozeman,"Dvořák, Antonín",1,1
Bozeman,"Elgar, Edward",1,1
Bozeman,"Frank, Gabriela Lena",1,4
Bozeman,"Lee, Scott",1,1
Bozeman,"Mozart, Wolfgang Amadeus",1,1
Bozeman,"Prokofiev, Sergey",2,1
Bozeman,"Rimsky-Korsakov, Nikolay",1,1
Bozeman,"Smetana, Bedřich",1,1
Bozeman,"Tchaikovsky, Peter Ilich",1,1
Bozeman,"Thomas, Augusta Read",1,2
Bozeman,"Weber, Carl Maria von",1,1
Buffalo Philharmonic Orchestra,"Barber, Samuel",1,1
Buffalo Philharmonic Orchestra,"Beethoven, Ludwig van",2,1
Buffalo Philharmonic Orchestra,"Bloch, Ernest",1,1
Buffalo Philharmonic Orchestra,"Brahms, Johannes",2,1
Buffalo Philharmonic Orchestra,"Dvořák, Antonín",1,1
Buffalo Philharmonic Orchestra,"Elgar, Edward",1,1
Buffalo Philharmonic Orchestra,"Enescu, George",1,1
Buffalo Philharmonic Orchestra,"Franck, César",1,1
Buffalo Philharmonic Orchestra,"Frank, Gabriela Lena",1,4
Buffalo Philharmonic Orchestra,"Fuchs, Kenneth",1,1
Buffalo Philharmonic Orchestra,"Gershwin, George",1,1
Buffalo Philharmonic Orchestra,"Glinka, Mikhail",1,1
Buffalo Philharmonic Orchestra,"Grieg, Edvard",1,1
